id,event_name
a1,a1: Thuận hai chân
a2,a2: Kỹ thuật tốt
a3,a3: Thể lực cao
a4,a4: Tốc độ nhanh
a5,a5: Khả năng chuyền bóng tốt
a6,a6: Kỹ năng dứt điểm chính xác
a7,a7: Chiều cao vượt trội
a8,a8: Còn trẻ khỏe
a9,a9: Khả năng phòng thủ xuất sắc
a10,a10: Kỹ năng chuyền bóng dài
a11,a11: Khả năng đoán tình huống tốt
a12,a12: Khả năng chơi bóng đầu tốt
a13,a13: Khả năng kiểm soát bóng tốt
a14,a14: Khả năng lãnh đạo tốt
a15,a15: Khả năng phản ứng nhanh
a16,a16: Tầm nhìn tốt
a17,a17:Khả năng phản xạ xuất sắc
a18,a18: Khả năng chỉ huy hàng phòng ngự
a19,a19: Kỹ năng bắt bóng bổng
a20,a20: Khả năng phát bóng chính xác
a21,a21: Kỹ năng xử lý bóng bằng chân
a22,a22: Khả năng kèm người chặt chẽ
a23,a23: Khả năng tắc bóng hiệu quả
a24,a24: Kỹ năng không chiến tốt
a25,a25: Khả năng hỗ trợ tấn công
a26,a26: Tính kỷ luật trong phòng thủ
a27,a27: Khả năng kiểm soát nhịp độ trận đấu
a28,a28: Khả năng chuyền ngắn chính xác
a29,a29: Khả năng rê bóng thoát pressing
a30,a30: Khả năng chuyền dài tốt
a31,a31: Khả năng ghi bàn từ xa
a32,a32: Bản năng săn bàn tốt
a33,a33: Khả năng di chuyển không bóng thông minh
a34,a34: Khả năng tạo khoảng trống
a35,a35: Kỹ năng dứt điểm đa dạng
a36,a36: Khả năng kèm người chặt chẽ
