Player ID,Player Name,Actual Value,Predicted Value,Percentage Error,Accepted,Position
234577,Diogo Costa,54000000.00,24011456.87,55.53,False,GK
258498,B. Verbruggen,18500000.00,9824191.74,46.90,False,GK
240913,C. Kelleher,15500000.00,8241719.03,46.83,False,GK
243585,G. Bazunu,6000000.00,6593735.96,9.90,True,GK
242879,M. Vandevoordt,11000000.00,8609598.14,21.73,False,GK
235073,G. Kobel,86000000.00,48453910.89,43.66,False,GK
228789,Robert Sánchez,16500000.00,10487203.72,36.44,False,GK
263880,Agirrezabala,20000000.00,6984014.16,65.08,False,GK
265526,G. Restes,26000000.00,9208634.71,64.58,False,GK
193080,De Gea,13500000.00,7550212.91,44.07,False,GK
210257,Ederson,61000000.00,37117711.54,39.15,False,GK
233934,A. Ramsdale,24000000.00,9320759.63,61.16,False,GK
241671,D. Livaković,17500000.00,7181366.60,58.96,False,GK
243952,A. Lunin,30000000.00,30000000.00,0.00,True,GK
252154,M. Carnesecchi,37000000.00,9174863.21,75.20,False,GK
232229,J. Bijlow,6500000.00,6884016.60,5.91,True,GK
240091,G. Vicario,41500000.00,19022089.32,54.16,False,GK
246158,M. Hermansen,13000000.00,7749606.55,40.39,False,GK
220901,David Raya,36000000.00,15934109.52,55.74,False,GK
263063,J. Trafford,8000000.00,8126502.58,1.58,True,GK
263887,J. Urbig,6000000.00,6250436.97,4.17,True,GK
271114,D. Seimen,1600000.00,4820479.62,201.28,False,GK
233306,D. Henderson,15000000.00,8373354.26,44.18,False,GK
238070,J. Cumming,1500000.00,4041242.52,169.42,False,GK
246158,M. Hermansen,13000000.00,7749606.55,40.39,False,GK
177683,Y. Sommer,9000000.00,8054341.87,10.51,False,GK
202811,E. Martínez,42000000.00,10696075.51,74.53,False,GK
215698,M. Maignan,68000000.00,12116480.02,82.18,False,GK
269626,Đ. Petrović,20000000.00,9514568.07,52.43,False,GK
255303,E. Caprile,8000000.00,14722063.94,84.03,False,GK
259532,Joan García,18000000.00,9054383.96,49.70,False,GK
226753,A. Onana,33500000.00,22251243.29,33.58,False,GK
230869,Unai Simón,58000000.00,11515270.83,80.15,False,GK
231691,A. Lafont,7000000.00,8033069.71,14.76,False,GK
235633,Y. Diouf,13000000.00,7827686.99,39.79,False,GK
140233,G. Ochoa,625000.00,1186372.37,89.82,False,GK
167948,H. Lloris,1900000.00,3207633.62,68.82,False,GK
186153,W. Szczęsny,9000000.00,16040081.67,78.22,False,GK
193041,K. Navas,3400000.00,5257224.96,54.62,False,GK
203841,N. Pope,18000000.00,9123082.72,49.32,False,GK
206585,Kepa,12000000.00,7507204.03,37.44,False,GK
1179,G. Buffon,1200000.00,942412.57,21.47,False,GK
262298,M. Lotka,2300000.00,39846089.11,1632.44,False,GK
273621,J. Beadle,2900000.00,6676176.95,130.21,False,GK
277823,D. Peretz,4500000.00,5764697.44,28.10,False,GK
256161,M. Ramírez,4000000.00,5370629.78,34.27,False,GK
235183,C. Acevedo,0.00,5262364.97,inf,False,GK
238186,M. Bułka,22500000.00,9431803.24,58.08,False,GK
240311,L. Zidane,1800000.00,3201623.09,77.87,False,GK
243647,A. Bayındır,7000000.00,18597637.42,165.68,False,GK
246139,Iñaki Peña,5000000.00,13047893.03,160.96,False,GK
