ID,Name,Predicted Value,Dataset,Position
265179,A. Andresen,300000.0,Training,GK
271117,F. Talley,272300.0,Training,GK
261679,Ye Hoon Ueom,375100.0,Training,GK
274103,Rafael Oliveira,683250.0,Training,GK
271592,Wang Xiaofeng,59450.0,Training,GK
275327,L. Štubljar,323450.0,Training,GK
261423,N. Deka,98400.0,Training,GK
210368,J. Duncan,186750.0,Training,GK
262914,S. Simons,169600.0,Training,GK
279299,D. Badamontes,113300.0,Training,GK
276988,A. Bellaarouch,1973000.0,Training,GK
175281,D. Onyango,389090.0,Training,GK
263116,L. Rieß,910250.0,Training,GK
279705,J. Cohen,602500.0,Training,GK
278272,F. Veneran,250750.0,Training,GK
234371,R. Descamps,3375000.0,Training,GK
268394,T. Gillier,1079250.0,Training,GK
261234,J. López,401250.0,Training,GK
274083,E. Villanueva,501250.0,Training,GK
261547,R. By,82900.0,Training,GK
268583,F. Marschall,323250.0,Training,GK
232229,J. Bijlow,5932250.0,Training,GK
246740,G. Dietsch,1075550.0,Training,GK
265987,L. Bendel,341750.0,Training,GK
263763,S. Weirauch,476750.0,Training,GK
266247,M. Abo Asidah,91600.0,Training,GK
198285,L. Nicholls,626500.0,Training,GK
12164,P. Smith,49400.0,Training,GK
276857,S. Nesler-Täubl,161400.0,Training,GK
266212,C. Cox,81600.0,Training,GK
276794,S. Cabello,220100.0,Training,GK
202770,C. Ripley,312300.0,Training,GK
268623,M. Bignetti,476500.0,Training,GK
276945,M. Jeleń,172600.0,Training,GK
272022,A. Părăluță,5488250.0,Training,GK
278717,M. Klausen,172200.0,Training,GK
269746,K. van Dorp,397750.0,Training,GK
272577,O. Chacín,345500.0,Training,GK
279396,A. Sobedra,884500.0,Training,GK
262157,M. Mignon,158850.0,Training,GK
277430,Z. Baker,110100.0,Training,GK
270470,G. Grotta,362500.0,Training,GK
263873,M. Kinzig,251250.0,Training,GK
204513,M. Dupé,2425000.0,Training,GK
273544,J. Rojas,477000.0,Training,GK
238674,K. Broll,725750.0,Training,GK
165580,Diego Alves,1089250.0,Training,GK
263137,D. Skubl,419200.0,Training,GK
200715,A. Davies,650500.0,Training,GK
276423,B. Kuçkar,91800.0,Training,GK
273621,J. Beadle,2979000.0,Training,GK
258390,I. Grbić,2185000.0,Training,GK
244340,R. Vodišek,1371000.0,Training,GK
263009,H. Hampton,3900300.0,Training,GK
228736,W. Faríñez,1713300.0,Training,GK
248735,Bao Yaxiong,853500.0,Training,GK
276354,J. Krzywański,207600.0,Training,GK
242948,M. Kovář,9373700.0,Training,GK
269916,M. Hagemoser,468000.0,Training,GK
260982,C. Brady,2447000.0,Training,GK
276612,L. Escobar,475000.0,Training,GK
269286,T. Chatelain,239200.0,Training,GK
272020,Andrea Tarazona,520850.0,Training,GK
276478,F. Vandelli,175500.0,Training,GK
273973,L. Lavallée,845000.0,Training,GK
202873,K. Müller,2037250.0,Training,GK
272424,J. Meijster,374750.0,Training,GK
269991,Manuel Baldé,1098500.0,Training,GK
227275,A. Rossi,18220500.0,Training,GK
267827,R. Azybi,92200.0,Training,GK
263967,N. Defreitas-Hansen,220100.0,Training,GK
271407,M. Sánchez Tabares,1003500.0,Training,GK
272887,X. Valdez,230000.0,Training,GK
268565,M. Córdova,773000.0,Training,GK
272646,J. Öst,162650.0,Training,GK
273733,O. Avalonez,313150.0,Training,GK
273461,O. Preil,274250.0,Training,GK
262785,B. Young,271000.0,Training,GK
266803,R. Sava,2659000.0,Training,GK
278586,A. Nielsen,249600.0,Training,GK
267938,E. Kirkman,198000.0,Training,GK
266383,J. Bauer,181000.0,Training,GK
269542,Li Yijia,69400.0,Training,GK
265490,D. Corozo Arroyo,363250.0,Training,GK
270763,M. Kowal,230000.0,Training,GK
272902,T. Sultani,1041350.0,Training,GK
208390,A. Faidherbe,141850.0,Training,GK
266177,J. Kindberg,152900.0,Training,GK
264553,L. Ayoví,852250.0,Training,GK
274621,J. Salvá,48150.0,Training,GK
279089,A. Glavin,120200.0,Training,GK
261857,Rute Costa,362150.0,Training,GK
276806,O. Goodman,678750.0,Training,GK
259065,Arnau Tenas,7550500.0,Training,GK
258591,L. Isherwood,186200.0,Training,GK
276775,M. Petiteau,1095100.0,Training,GK
263986,W. Pulisic,122800.0,Training,GK
262251,K. Tobiasz,1406000.0,Training,GK
167495,M. Neuer,7659000.0,Training,GK
271193,Antonio Gomis,2464000.0,Training,GK
271918,R. Risser,2116000.0,Training,GK
246753,M. Kikkenborg,1198500.0,Training,GK
193331,K. Darlow,873000.0,Training,GK
270977,L. Diabaté,458000.0,Training,GK
274852,A. Wogan,276750.0,Training,GK
278956,C. Ansen,174100.0,Training,GK
277571,D. Peraić-Cullen,129800.0,Training,GK
265675,J. Camargo,1198250.0,Training,GK
240796,M. Roffo,5388900.0,Training,GK
271146,A. Sorrentino,1260000.0,Training,GK
272537,F. Dimmer,470500.0,Training,GK
238583,J. Sims,126200.0,Training,GK
267833,L. Groenendijk,241550.0,Training,GK
276839,S. Desplanches,3438000.0,Training,GK
263402,T. De Percin,628750.0,Training,GK
260967,A. Păun,299750.0,Training,GK
269695,D. Kaya,240200.0,Training,GK
279082,S. Kaymakci,325750.0,Training,GK
152690,D. Konstantopoulos,39650.0,Training,GK
268404,L. Hood,90500.0,Training,GK
271491,Carlos López,559650.0,Training,GK
268823,B. Ben Said,571800.0,Training,GK
270035,B. Dumrath,300000.0,Training,GK
264978,K. Talaslahti,887950.0,Training,GK
276361,J. Duda,178200.0,Training,GK
53110,C. Gordon,174400.0,Training,GK
262996,D. Moore,160400.0,Training,GK
271571,Gabriel Batista,2109000.0,Training,GK
271751,H. Griffiths,120500.0,Training,GK
263530,H. Muñoz,70600.0,Training,GK
261848,Inês Pereira,978250.0,Training,GK
242802,San Román,1513250.0,Training,GK
271459,Víctor Aznar,925000.0,Training,GK
265053,S. Winkler,677950.0,Training,GK
275862,S. Keller,343500.0,Training,GK
278556,R. Maher,83000.0,Training,GK
225149,J. Butez,7062250.0,Training,GK
270996,A. Stejskal,1660000.0,Training,GK
279121,Edmilson Cambila,403000.0,Training,GK
269406,A. Gorcea,940750.0,Training,GK
272439,J. Storer,230400.0,Training,GK
162473,R. Turnbull,321350.0,Training,GK
264759,H. Palmer,70020.0,Training,GK
278765,H. Molyneux,177400.0,Training,GK
263327,C. Talichmanidis,475000.0,Training,GK
261320,L. García,476000.0,Training,GK
274730,D. Ignatenko,475000.0,Training,GK
270721,N. Aslan,334050.0,Training,GK
273096,M. Budiño,201450.0,Training,GK
276803,D. Barosi,155400.0,Training,GK
260935,Gasca,381500.0,Training,GK
263827,L. Zbinden,350750.0,Training,GK
264895,C. Picaud,1556850.0,Training,GK
262830,T. Saunders,238200.0,Training,GK
276851,A. Morlupo,373500.0,Training,GK
268397,N. O'Connell,169400.0,Training,GK
272755,J. Castro,238900.0,Training,GK
167993,V. Stojković,182300.0,Training,GK
263033,M. Oczkowski,277150.0,Training,GK
243308,Álex Dos Santos,1005250.0,Training,GK
262463,V. Drăghia,62150.0,Training,GK
226066,P. Abogo,291750.0,Training,GK
272314,Peng Peng,398200.0,Training,GK
256938,N. Hedl,3110000.0,Training,GK
262319,A. Dowling,281400.0,Training,GK
263408,T. Poitoux,473250.0,Training,GK
263674,L. Hawryluk,964500.0,Training,GK
263316,C. Chatzigavriel,144500.0,Training,GK
266003,E. Brearey,137200.0,Training,GK
200389,J. Oblak,47545000.0,Training,GK
265449,J. Medina,500000.0,Training,GK
265564,D. Dabas,90100.0,Training,GK
225361,L. McGee,387150.0,Training,GK
273984,E. Bores,632500.0,Training,GK
279550,Dong Hang,50430.0,Training,GK
264475,M. Boylan,133400.0,Training,GK
265449,J. Medina,500000.0,Training,GK
267835,R. Hornos,718000.0,Training,GK
277342,M. Hall,209100.0,Training,GK
275715,M. Mazzeo,270850.0,Training,GK
277609,N. Ford,300000.0,Training,GK
236663,E. Balcombe,455750.0,Training,GK
270552,M. Dehler,350000.0,Training,GK
273697,J. Olsson,197350.0,Training,GK
50723,S. Taylor,64300.0,Training,GK
110677,Moyá,1699000.0,Training,GK
204883,B. Samba,19472500.0,Training,GK
266565,B. Schubert,158100.0,Training,GK
275349,T. Brooks,274900.0,Training,GK
220190,Cristian Arco,132700.0,Training,GK
264020,Hu Binhan,79300.0,Training,GK
24630,Pepe Reina,986090.0,Training,GK
264190,R. Al Muwainea,86400.0,Training,GK
235421,B. Ozegovic,561750.0,Training,GK
273861,G. Rodríguez,648000.0,Training,GK
266178,B. Al Shahrani,89900.0,Training,GK
278095,J. Van Neck,470000.0,Training,GK
276597,H. Fisk,154300.0,Training,GK
272915,F. Sidklev,741000.0,Training,GK
192129,K. Nordfeldt,142550.0,Training,GK
165564,A. Kwarasey,450750.0,Training,GK
267395,W. Asprilla,545000.0,Training,GK
242818,F. Dahmen,3094000.0,Training,GK
264893,F. Belhadj,266150.0,Training,GK
261042,S. Sen,48250.0,Training,GK
269138,Li Yuefeng,79900.0,Training,GK
267460,J. Nickisch,524000.0,Training,GK
270918,N. Arvidsson,249800.0,Training,GK
273731,R. Formento,1468000.0,Training,GK
261113,M. Villeda,649350.0,Training,GK
261741,C. Woods,120300.0,Training,GK
261941,Guo Jiayu,119700.0,Training,GK
235018,M. Nicolas,4707000.0,Training,GK
261472,G. Breeze,300750.0,Training,GK
264594,J. Cisternas,220000.0,Training,GK
273089,E. Salinas,891000.0,Training,GK
271377,I. Lucatelli,110200.0,Training,GK
276916,Diogo Dias,445250.0,Training,GK
274478,T. Vanhoutte,427250.0,Training,GK
268834,I. Danlad,825800.0,Training,GK
279028,M. Young,439500.0,Training,GK
167495,M. Neuer,7659000.0,Training,GK
268592,T. Wooster,232650.0,Training,GK
261895,Guo Hanru,134200.0,Training,GK
188400,T. Kaminski,3108500.0,Training,GK
225116,A. Meret,21141300.0,Training,GK
266806,G. Lillienberg,181000.0,Training,GK
261466,M. Silva,1694000.0,Training,GK
240225,M. Safonov,14282000.0,Training,GK
265531,L. Usca,305500.0,Training,GK
267684,N. Hagen,484750.0,Training,GK
261755,D. Reiziger,907300.0,Training,GK
276673,A. Al Ouwiradi,210300.0,Training,GK
277998,A. Sposito,1109500.0,Training,GK
279033,Sergio,554750.0,Training,GK
264999,M. Tufeković,762850.0,Training,GK
220901,David Raya,30014100.0,Training,GK
202125,J. Bonham,459450.0,Training,GK
269511,M. Jedlička,3844000.0,Training,GK
242656,I. Meslier,5589000.0,Training,GK
263712,M. Mastil,108100.0,Training,GK
199803,D. Batz,638050.0,Training,GK
264046,L. Pratelli,209200.0,Training,GK
